Macrotrends Data Download

CME Japanese Yen JPY Futures #1 (JY1)

All contracts are Front Month | Calendar-Weighted Adjusted Prices,
Roll on First of Month | Continuous Contract History.

Disclaimer and Terms of Use: Historical data is provided "as is" and solely
for informational purposes - not for trading purposes or advice.
Neither MacroTrends LLC nor any of our information providers will be liable
for any damages relating to your use of the data provided.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1979-12-31,4197.0000
1980-01-02,4259.0000
1980-01-03,4243.0000
1980-01-04,4334.0000
1980-01-07,4392.0000
1980-01-08,4299.0000
1980-01-09,4296.0000
1980-01-10,4286.0000
1980-01-11,4284.0000
1980-01-14,4276.0000
1980-01-15,4210.0000
1980-01-16,4237.0000
1980-01-17,4221.0000
1980-01-18,4218.0000
1980-01-21,4193.0000
1980-01-22,4222.0000
1980-01-23,4263.0000
1980-01-24,4221.0000
1980-01-25,4212.0000
1980-01-28,4203.0000
1980-01-29,4212.0000
1980-01-30,4217.0000
1980-01-31,4217.0000
1980-02-01,4174.0000
1980-02-04,4196.0000
1980-02-05,4193.0000
1980-02-06,4193.0000
1980-02-07,4192.0000
1980-02-08,4156.0000
1980-02-11,4163.0000
1980-02-12,4159.0000
1980-02-13,4150.0000
1980-02-14,4124.0000
1980-02-15,4139.0000
1980-02-19,4086.0000
1980-02-20,4079.0000
1980-02-21,4076.0000
1980-02-22,4069.0000
1980-02-25,4034.0000
1980-02-26,4062.8000
1980-02-27,4066.4000
1980-02-28,4075.4000
1980-02-29,4024.0000
1980-03-03,4102.0000
1980-03-04,4133.0000
1980-03-05,4107.0000
1980-03-06,4081.0000
1980-03-07,4073.0000
1980-03-10,4096.0000
1980-03-11,4084.0000
1980-03-12,4084.0000
1980-03-13,4073.0000
1980-03-14,4054.0000
1980-03-17,4072.0000
1980-03-18,4054.0000
1980-03-19,4060.0000
1980-03-20,4061.0000
1980-03-21,4053.0000
1980-03-24,4044.0000
1980-03-25,4053.0000
1980-03-26,4042.0000
1980-03-27,4018.0000
1980-03-28,4043.0000
1980-03-31,4037.0000
1980-04-01,3937.0000
1980-04-02,3916.0000
1980-04-03,3911.0000
1980-04-07,3848.0000
1980-04-08,3919.0000
1980-04-09,4005.0000
1980-04-10,4077.0000
1980-04-11,3998.0000
1980-04-14,4010.0000
1980-04-15,3987.0000
1980-04-16,4065.0000
1980-04-17,4058.0000
1980-04-18,4029.0000
1980-04-21,4032.0000
1980-04-22,4033.0000
1980-04-23,4133.0000
1980-04-24,4113.0000
1980-04-25,4091.0000
1980-04-28,4171.0000
1980-04-29,4201.0000
1980-04-30,4183.0000
